Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
1387271665,2,,,physics
1478651034,2,,,sociology
1713236733,2,,899,psychology
2207375623,2,,,economics
2633797192,2,,,economics
2099116529,2,,,computer science
2132008599,2,,,business
577668700,2,,206,psychology
1878631932,2,,134,computer science
1902393798,2,,,psychology
2011979398,2,,,computer science
2032008572,2,,9,mathematics
2131471174,2,,,computer science
2568810374,2,,,psychology
2917869356,2,,,psychology
2237122046,2,,,computer science
2617567077,2,,,computer science
2796205662,2,,,psychology
2612020249,2,,,computer science
2657776211,2,,,computer science
2769200422,2,,,sociology
2770883607,2,,,sociology
2809767974,2,,,chemistry
2073690802,2,,,physics
2435416929,2,,,computer science
2758602146,2,,,computer science
2916078940,2,,,philosophy
31684644,19,,,economics
1967939078,19,,,business
2108211725,19,,,economics
2217192325,19,,,business
2290326643,19,,,economics
2764895638,19,,32,computer science
32125224,2007,,,economics
56087934,2007,,,economics
2627776282,2007,,,sociology
2694331091,2007,,,sociology
32182330,49,,97,computer science
2087102331,49,,97,computer science
2126173642,49,,97,computer science
2149555835,49,,97,computer science
2224292323,49,,97,computer science
2251454387,49,,97,computer science
80767100,49,,,computer science
2094860819,49,,,engineering
2224665583,49,,,computer science
2941968830,49,,,computer science
2101274274,5,7,124,computer science
2141776277,5,7,124,computer science
2127952624,5,7,124,physics
2132063513,5,7,124,computer science
2191828109,5,7,124,computer science
2702642843,5,,,computer science
2741747395,5,,,economics
190101923,5,,,computer science
1160023076,5,,,computer science
2003433023,5,,,computer science
2120179359,5,,124,computer science
2126663513,5,,,computer science
2490981332,5,,31,psychology
2574639920,5,,,computer science
2515435442,5,,,physics
2157265451,5,,119,computer science
2144603596,5,,,sociology
2162388882,5,,,sociology
2193105600,5,,,computer science
2479178393,5,,,computer science
2619708817,5,,,computer science
2802605583,5,,,business
2899018881,5,,,computer science
102657000,49,,,computer science
255116046,49,,,business
2113112140,49,,,computer science
2153688427,49,,,computer science
2159577711,49,,,biology
32648895,612,,,computer science
1046689593,612,,,economics
2113757298,612,,,business
2659185378,612,,,business
2990914579,612,,,political science
2991375695,612,,,political science
33287012,502,,223,philosophy
155911543,502,,,computer science
477910810,502,,,computer science
817377007,502,,,computer science
2049206248,502,,223,computer science
2167481407,502,,223,computer science
2066781429,502,,223,computer science
2153905267,502,,223,computer science
2197110457,502,,223,computer science
1933888933,1031,,,medicine
2010550474,1031,,,biology
2160236129,1031,,,medicine
2119219451,1031,,,biology
2123756995,1031,,,chemistry
2256122351,1031,,,medicine
33349276,252,,,computer science
62163164,252,,,computer science
1656275121,252,,,computer science
1921192703,252,,,computer science
2028397797,252,,,computer science
2129043304,252,,,computer science
33893288,1068,,281,economics
336927581,1068,,281,computer science
1479046923,1068,,,geography
1922847190,1068,,,economics
1971323995,1068,,281,computer science
2159320411,1068,,281,computer science
33999795,1746,,,computer science
2176658201,1746,,,computer science
2302542933,1746,,,engineering
2933682846,1746,,,engineering
34180746,259,,,sociology
2162807432,259,,,computer science
2169704949,259,,,mathematics
2250238426,259,,,computer science
2293708541,259,,,economics
2760557827,259,,,mathematics
2890250585,259,,,computer science
1827509380,2901,,896,psychology
2026992291,2901,,896,computer science
2156568459,2901,,,psychology
34585664,3330,,,computer science
2224278888,3330,,,computer science
2887011214,3330,,,computer science
34899931,41,,19,sociology
1778916541,41,,19,political science
1990745987,41,,19,political science
1994558008,41,,19,political science
2089068315,41,,19,materials science
2099833905,41,,19,physics
2100469991,41,,19,political science
2112864438,41,,,materials science
2136324114,41,,19,materials science
2156222198,41,,19,psychology
2229986127,41,,,psychology
2513730557,41,,,engineering
2584974323,41,,,sociology
2992559650,41,,19,sociology
2346952931,41,42,739,economics
2580012711,41,,,sociology
179817953,9,,,political science
2098149963,9,,,computer science
